Sample	meth_chg	meth_chh	meth_cpg	percent_cpg_meth	total_c	unmeth_chg	unmeth_chh	unmeth_cpg
45669_44700_SO3_NC1_N8_1_val_1	3953.0	49825.0	6791.0	75.6	190625.0	26552.0	101312.0	2192.0
45669_44964_PO1_NC4_B8_1_val_1	13487.0	123203.0	12283.0	89.7	210193.0	12248.0	47559.0	1413.0
45669_44964_PO2_NC4_C7_1_val_1	43384.0	434956.0	35434.0	91.9	632363.0	20760.0	94711.0	3118.0
45669_44964_PO3_NC3_D8_1_val_1	34599.0	341767.0	38716.0	82.1	812310.0	82524.0	306238.0	8466.0
45669_44964_PO4_NC3_E8_1_val_1	53771.0	538276.0	50373.0	88.4	968462.0	63526.0	255913.0	6603.0
45669_44964_SO1_NC1_O7_1_val_1	26860.0	304821.0	55102.0	63.0	1855072.0	299530.0	1136413.0	32346.0
45669_44964_SO2_NC1_P7_1_val_1	12864.0	131430.0	11063.0	90.9	200837.0	8239.0	36134.0	1107.0
45669_44964_SO3_NC1_A8_1_val_1	8071.0	97101.0	14431.0	77.1	386432.0	55519.0	207012.0	4298.0
45982_44908_PO1_NC3_J8_1_val_1	5974.0	67271.0	6979.0	86.1	166332.0	15870.0	69109.0	1129.0
45982_44908_PO2_NC4_K8_1_val_1	82492.0	708811.0	74587.0	95.2	1054116.0	35714.0	148746.0	3766.0
45982_44908_SO1_NC1_G8_1_val_1	123614.0	1116653.0	108450.0	96.9	1552681.0	38812.0	161707.0	3445.0
45982_44908_SO2_NC1_H8_1_val_1	42585.0	383169.0	46883.0	87.8	851647.0	77588.0	294909.0	6513.0
45982_44908_SO3_NC1_I8_1_val_1	34160.0	303337.0	30553.0	95.3	452052.0	16121.0	66376.0	1505.0
45982_45001_PO1_NC3_E9_1_val_1	52012.0	432118.0	45379.0	97.9	580099.0	9020.0	40575.0	995.0
45982_45001_PO2_NC4_F8_1_val_1	62538.0	620205.0	54903.0	90.7	996095.0	48038.0	204759.0	5652.0
45982_45001_SO1_NC1_B9_1_val_1	57858.0	603533.0	56903.0	88.6	1137442.0	81362.0	330462.0	7324.0
45982_45001_SO2_NC1_C10_1_val_1	21744.0	181564.0	21311.0	92.2	328119.0	21159.0	80530.0	1811.0
45982_45001_SO3_NC1_D9_1_val_1	29356.0	245312.0	27697.0	93.5	417055.0	23179.0	89579.0	1932.0
46363_44664_PO1_NC5_L9_1_val_1	14250.0	155249.0	18174.0	82.1	425601.0	47477.0	186495.0	3956.0
46363_44664_SO1_NC1_I9_1_val_1	103875.0	1079791.0	137140.0	84.9	3059949.0	346751.0	1368023.0	24369.0
46363_44664_SO2_NC1_J9_1_val_1	18240.0	201180.0	19681.0	88.2	424540.0	33527.0	149274.0	2638.0
46363_44664_SO3_NC1_K9_1_val_1	51849.0	449090.0	49327.0	94.1	736695.0	36101.0	147208.0	3120.0
46363_44914_PO1_NC4_H9_1_val_1	51520.0	452395.0	52507.0	91.1	876484.0	64347.0	250573.0	5142.0
46363_44914_SO1_NC1_F9_1_val_1	55673.0	594987.0	53509.0	93.7	950525.0	48011.0	194754.0	3591.0
46363_44914_SO2_NC1_G9_1_val_1	44690.0	404733.0	70020.0	78.4	1629093.0	236362.0	854025.0	19263.0
46363_44914_SO3_NC1_I6_1_val_1	38404.0	354363.0	34527.0	93.8	527910.0	19901.0	78416.0	2299.0
46606_44938_PO1_NC4_P9_1_val_1	52466.0	430660.0	44333.0	98.2	560046.0	5063.0	26730.0	794.0
46606_44938_PO2_NC3_A10_1_val_1	56296.0	477943.0	53539.0	92.7	781753.0	40662.0	149085.0	4228.0
46606_44938_PO3_NC5_B10_1_val_1	17757.0	162315.0	31558.0	77.2	779148.0	120526.0	437670.0	9322.0
46606_44938_SO1_NC1_M9_1_val_1	67623.0	829521.0	63249.0	93.9	1274388.0	46979.0	262925.0	4091.0
46606_44938_SO2_NC1_N9_1_val_1	22888.0	213603.0	23430.0	88.4	441156.0	35737.0	142411.0	3087.0
46606_44938_SO3_NC1_O9_1_val_1	42436.0	354778.0	38880.0	96.6	510170.0	13938.0	58755.0	1383.0
46606_44993_PO1_NC5_C9_1_val_1	8818.0	82449.0	7508.0	97.6	106513.0	1134.0	6423.0	181.0
46606_44993_PO2_NC5_D10_1_val_1	94280.0	772131.0	85868.0	95.9	1153576.0	39910.0	157711.0	3676.0
46606_44993_PO3_NC5_E10_1_val_1	42785.0	392310.0	50361.0	83.5	1014556.0	107843.0	411280.0	9977.0
46606_44993_PO4_NC5_F10_1_val_1	152403.0	1244833.0	157175.0	88.9	2495150.0	198150.0	722978.0	19611.0
