Sample	SAMPLE_NAME	MEDIAN_INSERT_SIZE	MODE_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_95_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
45669_44964_PO2_NC4_C7_1_val_1_FR	45669_44964_PO2_NC4_C7_1_val_1	196.0	130.0	65.0	30.0	500.0	210.331076	102.078124	11520.0	FR	25.0	51.0	77.0	103.0	131.0	167.0	215.0	267.0	333.0	421.0	553.0			
45669_44964_PO3_NC3_D8_1_val_1_FR	45669_44964_PO3_NC3_D8_1_val_1	211.0	130.0	63.0	30.0	500.0	219.897786	96.407405	15898.0	FR	23.0	47.0	71.0	99.0	127.0	157.0	193.0	253.0	325.0	385.0	519.0			
45669_44964_PO4_NC3_E8_1_val_1_FR	45669_44964_PO4_NC3_E8_1_val_1	207.0	130.0	62.0	30.0	500.0	218.856439	97.587984	18278.0	FR	25.0	47.0	71.0	97.0	125.0	155.0	199.0	257.0	325.0	403.0	535.0			
45669_44964_SO1_NC1_O7_1_val_1_FR	45669_44964_SO1_NC1_O7_1_val_1	179.0	130.0	56.0	30.0	500.0	187.786523	92.097622	43897.0	FR	23.0	45.0	67.0	91.0	113.0	149.0	193.0	239.0	281.0	363.0	545.0			
45669_44964_SO2_NC1_P7_1_val_1_FR	45669_44964_SO2_NC1_P7_1_val_1	165.0	130.0	58.0	30.0	500.0	177.81392	92.345921	4181.0	FR	21.0	43.0	65.0	85.0	117.0	151.0	187.0	225.0	279.0	391.0	573.0			
45669_44964_SO3_NC1_A8_1_val_1_FR	45669_44964_SO3_NC1_A8_1_val_1	195.0	130.0	60.0	30.0	500.0	202.217453	95.816464	8480.0	FR	25.0	47.0	71.0	95.0	121.0	153.0	201.0	259.0	307.0	369.0	525.0			
45982_44908_PO1_NC3_J8_1_val_1_FR	45982_44908_PO1_NC3_J8_1_val_1	178.0	130.0	70.0	30.0	500.0	185.735061	102.295772	3782.0	FR	29.0	55.0	83.0	105.0	141.0	185.0	229.0	261.0	297.0	391.0	581.0			
45982_44908_PO2_NC4_K8_1_val_1_FR	45982_44908_PO2_NC4_K8_1_val_1	197.0	130.0	66.0	30.0	500.0	213.497346	99.790505	20346.0	FR	27.0	51.0	79.0	105.0	133.0	155.0	197.0	253.0	331.0	429.0	557.0			
45982_44908_SO1_NC1_G8_1_val_1_FR	45982_44908_SO1_NC1_G8_1_val_1	210.0	130.0	72.0	28.0	500.0	223.698797	104.831693	28426.0	FR	27.0	55.0	83.0	113.0	145.0	169.0	213.0	271.0	343.0	439.0	551.0			
45982_44908_SO2_NC1_H8_1_val_1_FR	45982_44908_SO2_NC1_H8_1_val_1	189.0	130.0	59.0	30.0	500.0	202.324694	95.635188	17826.0	FR	23.0	47.0	71.0	95.0	119.0	147.0	191.0	245.0	305.0	401.0	557.0			
45982_44908_SO3_NC1_I8_1_val_1_FR	45982_44908_SO3_NC1_I8_1_val_1	183.0	130.0	59.0	30.0	500.0	201.039866	100.070522	8980.0	FR	27.0	51.0	75.0	97.0	119.0	157.0	201.0	255.0	325.0	431.0	587.0			
45982_45001_PO1_NC3_E9_1_val_1_FR	45982_45001_PO1_NC3_E9_1_val_1	205.0	130.0	70.0	30.0	500.0	218.007996	102.108952	11005.0	FR	29.0	55.0	81.0	109.0	141.0	167.0	207.0	261.0	331.0	419.0	553.0			
45982_45001_PO2_NC4_F8_1_val_1_FR	45982_45001_PO2_NC4_F8_1_val_1	202.0	130.0	64.0	30.0	500.0	215.344973	99.053895	18442.0	FR	25.0	49.0	73.0	99.0	129.0	159.0	203.0	257.0	321.0	409.0	545.0			
