Sample	Original top strand	Complementary to original top strand	Complementary to original bottom strand	Original bottom strand
45669_44700_SO2_NC1_M8_2_val_2_screen	39868.0	275.0	378.0	39180.0
45669_44700_SO3_NC1_N8_1_val_1_screen	207.0	40936.0	40144.0	237.0
45669_44700_SO3_NC1_N8_2_val_2_screen	39995.0	335.0	378.0	39369.0
45669_44964_PO1_NC4_B8_1_val_1_screen	286.0	39160.0	38542.0	499.0
45669_44964_PO1_NC4_B8_2_val_2_screen	38543.0	468.0	710.0	37912.0
45669_44964_PO2_NC4_C7_1_val_1_screen	208.0	38998.0	38047.0	406.0
45669_44964_PO2_NC4_C7_2_val_2_screen	38454.0	325.0	543.0	37547.0
45669_44964_PO3_NC3_D8_1_val_1_screen	301.0	40001.0	39374.0	480.0
45669_44964_PO3_NC3_D8_2_val_2_screen	39383.0	513.0	713.0	38679.0
45669_44964_PO4_NC3_E8_1_val_1_screen	256.0	40078.0	38942.0	445.0
45669_44964_PO4_NC3_E8_2_val_2_screen	39378.0	552.0	707.0	38484.0
45669_44964_SO1_NC1_O7_1_val_1_screen	215.0	40169.0	40358.0	229.0
45669_44964_SO1_NC1_O7_2_val_2_screen	39770.0	351.0	321.0	40001.0
45669_44964_SO2_NC1_P7_1_val_1_screen	208.0	38948.0	36871.0	425.0
45669_44964_SO2_NC1_P7_2_val_2_screen	38187.0	318.0	585.0	36175.0
45669_44964_SO3_NC1_A8_1_val_1_screen	166.0	40625.0	40293.0	216.0
45669_44964_SO3_NC1_A8_2_val_2_screen	40211.0	276.0	337.0	39898.0
45982_44908_PO1_NC3_J8_1_val_1_screen	127.0	39939.0	39749.0	84.0
45982_44908_PO1_NC3_J8_2_val_2_screen	39434.0	220.0	219.0	39371.0
45982_44908_PO2_NC4_K8_1_val_1_screen	175.0	33860.0	33936.0	203.0
45982_44908_PO2_NC4_K8_2_val_2_screen	33076.0	335.0	316.0	33498.0
45982_44908_SO1_NC1_G8_1_val_1_screen	159.0	36307.0	36092.0	144.0
45982_44908_SO1_NC1_G8_2_val_2_screen	35973.0	279.0	282.0	35859.0
45982_44908_SO2_NC1_H8_1_val_1_screen	232.0	38475.0	38284.0	253.0
